Season,Round,ClubHome,ClubAway,PlayDate
IPL2016,01,Esteghlal TEH,Naft TEH,2016-07-25 14:15:00+00:00
IPL2016,01,FC Mashhad MSH,Zobahan ESF,2016-07-25 12:00:00+00:00
IPL2016,01,Teraktor TBZ,Esteghlal KHU,2016-07-25 16:45:00+00:00
IPL2016,01,Sepahan ESF,Padideh MSH,2016-07-26 17:15:00+00:00
IPL2016,01,Saipa ALB,Perspolis TEH,2016-07-26 13:30:00+00:00
IPL2016,01,Saba QOM,Sanat Naft ABD,2016-07-25 14:15:00+00:00
IPL2016,01,Gostaresh TBZ,Paykan TEH,2016-07-26 17:15:00+00:00
IPL2016,01,Foolad KHU,Mashin Sazi TBZ,2016-07-26 15:45:00+00:00
IPL2016,02,Paykan TEH,Saba QOM,2016-07-31 17:00:00+00:00
IPL2016,02,Sanat Naft ABD,Teraktor TBZ,2016-08-01 15:30:00+00:00
IPL2016,02,Zobahan ESF,Saipa ALB,2016-07-31 15:15:00+00:00
IPL2016,02,Naft TEH,Sepahan ESF,2016-08-01 13:30:00+00:00
IPL2016,02,Perspolis TEH,Foolad KHU,2016-08-01 17:15:00+00:00
IPL2016,02,Esteghlal KHU,Esteghlal TEH,2016-07-31 13:15:00+00:00
IPL2016,02,Mashin Sazi TBZ,Gostaresh TBZ,2016-08-01 15:30:00+00:00
IPL2016,02,Padideh MSH,FC Mashhad MSH,2016-07-31 16:00:00+00:00
IPL2016,03,Esteghlal TEH,Sanat Naft ABD,2016-08-05 15:45:00+00:00
IPL2016,03,Naft TEH,Padideh MSH,2016-08-06 15:45:00+00:00
IPL2016,03,Sepahan ESF,Esteghlal KHU,2016-08-06 17:15:00+00:00
IPL2016,03,Teraktor TBZ,Paykan TEH,2016-08-07 12:30:00+00:00
IPL2016,03,Saba QOM,Mashin Sazi TBZ,2016-08-06 14:30:00+00:00
IPL2016,03,Gostaresh TBZ,Perspolis TEH,2016-08-06 15:00:00+00:00
IPL2016,03,Foolad KHU,Zobahan ESF,2016-08-05 15:30:00+00:00
IPL2016,03,FC Mashhad MSH,Saipa ALB,2016-08-05 16:30:00+00:00
IPL2016,04,Paykan TEH,Esteghlal TEH,2016-08-11 12:15:00+00:00
IPL2016,04,FC Mashhad MSH,Foolad KHU,2016-08-12 16:15:00+00:00
IPL2016,04,Perspolis TEH,Saba QOM,2016-08-11 17:00:00+00:00
IPL2016,04,Esteghlal KHU,Naft TEH,2016-08-11 12:30:00+00:00
IPL2016,04,Mashin Sazi TBZ,Teraktor TBZ,2016-08-11 13:15:00+00:00
IPL2016,04,Saipa ALB,Padideh MSH,2016-08-11 15:30:00+00:00
IPL2016,04,Sanat Naft ABD,Sepahan ESF,2016-08-11 12:15:00+00:00
IPL2016,04,Zobahan ESF,Gostaresh TBZ,2016-08-11 12:00:00+00:00
IPL2016,05,Teraktor TBZ,Perspolis TEH,2016-09-10 14:15:00+00:00
IPL2016,05,Esteghlal TEH,Mashin Sazi TBZ,2016-09-11 16:15:00+00:00
IPL2016,05,Naft TEH,Sanat Naft ABD,2016-09-09 11:30:00+00:00
IPL2016,05,Gostaresh TBZ,FC Mashhad MSH,2016-09-09 13:30:00+00:00
IPL2016,05,Padideh MSH,Esteghlal KHU,2016-09-10 12:30:00+00:00
IPL2016,05,Sepahan ESF,Paykan TEH,2016-09-10 16:45:00+00:00
IPL2016,05,Foolad KHU,Saipa ALB,2016-09-10 14:15:00+00:00
IPL2016,05,Saba QOM,Zobahan ESF,2016-09-10 15:15:00+00:00
IPL2016,06,FC Mashhad MSH,Saba QOM,2016-09-15 17:00:00+00:00
IPL2016,06,Foolad KHU,Padideh MSH,2016-09-16 17:15:00+00:00
IPL2016,06,Mashin Sazi TBZ,Sepahan ESF,2016-09-15 11:30:00+00:00
IPL2016,06,Paykan TEH,Naft TEH,2016-09-15 12:45:00+00:00
IPL2016,06,Perspolis TEH,Esteghlal TEH,2016-09-16 17:15:00+00:00
IPL2016,06,Saipa ALB,Gostaresh TBZ,2016-09-15 12:30:00+00:00
IPL2016,06,Sanat Naft ABD,Esteghlal KHU,2016-09-15 13:30:00+00:00
IPL2016,06,Zobahan ESF,Teraktor TBZ,2016-09-15 12:30:00+00:00
IPL2016,07,Saba QOM,Saipa ALB,2016-09-20 11:30:00+00:00
IPL2016,07,Naft TEH,Mashin Sazi TBZ,2016-09-21 12:45:00+00:00
IPL2016,07,Teraktor TBZ,FC Mashhad MSH,2016-09-20 16:00:00+00:00
IPL2016,07,Padideh MSH,Sanat Naft ABD,2016-09-21 14:00:00+00:00
IPL2016,07,Esteghlal KHU,Paykan TEH,2016-09-20 16:15:00+00:00
IPL2016,07,Esteghlal TEH,Zobahan ESF,2016-09-20 13:30:00+00:00
IPL2016,07,Gostaresh TBZ,Foolad KHU,2016-09-21 17:00:00+00:00
IPL2016,07,Sepahan ESF,Perspolis TEH,2016-09-21 13:45:00+00:00
IPL2016,08,Perspolis TEH,Naft TEH,2016-10-15 12:45:00+00:00
IPL2016,08,Foolad KHU,Saba QOM,2016-10-14 14:15:00+00:00
IPL2016,08,FC Mashhad MSH,Esteghlal TEH,2016-10-15 15:00:00+00:00
IPL2016,08,Zobahan ESF,Sepahan ESF,2016-10-15 18:00:00+00:00
IPL2016,08,Paykan TEH,Sanat Naft ABD,2016-10-14 14:45:00+00:00
