Season,Round,ClubHome,ClubAway,PlayDate
IPL2015,01,SiahJamegan MSH,Esteghlal TEH,2015-07-30 16:15:00+00:00
IPL2015,01,Foolad KHU,Rahahan TEH,2015-07-31 11:45:00+00:00
IPL2015,01,Malavan ANZ,Zobahan ESF,2015-07-31 16:15:00+00:00
IPL2015,01,Perspolis TEH,Padideh MSH,2015-07-31 14:00:00+00:00
IPL2015,01,Teraktor TBZ,Naft TEH,2015-07-31 15:00:00+00:00
IPL2015,01,Sepahan ESF,Esteghlal KHU,2015-07-30 13:15:00+00:00
IPL2015,01,Saipa ALB,Gostaresh TBZ,2015-07-30 14:00:00+00:00
IPL2015,01,Saba QOM,Esteghlal AHV,2015-07-30 11:45:00+00:00
IPL2015,02,Naft TEH,Saba QOM,2015-08-06 11:45:00+00:00
IPL2015,02,Zobahan ESF,Sepahan ESF,2015-08-07 14:15:00+00:00
IPL2015,02,Gostaresh TBZ,Teraktor TBZ,2015-08-07 11:30:00+00:00
IPL2015,02,Esteghlal TEH,Malavan ANZ,2015-08-07 11:30:00+00:00
IPL2015,02,Esteghlal AHV,SiahJamegan MSH,2015-08-07 15:45:00+00:00
IPL2015,02,Rahahan TEH,Saipa ALB,2015-08-06 13:00:00+00:00
IPL2015,02,Esteghlal KHU,Perspolis TEH,2015-08-06 15:00:00+00:00
IPL2015,02,Padideh MSH,Foolad KHU,2015-08-06 15:15:00+00:00
IPL2015,03,Teraktor TBZ,Rahahan TEH,2015-08-14 15:00:00+00:00
IPL2015,03,Sepahan ESF,Perspolis TEH,2015-08-13 15:00:00+00:00
IPL2015,03,SiahJamegan MSH,Naft TEH,2015-08-13 13:30:00+00:00
IPL2015,03,Esteghlal TEH,Zobahan ESF,2015-08-14 12:15:00+00:00
IPL2015,03,Foolad KHU,Esteghlal KHU,2015-08-14 13:30:00+00:00
IPL2015,03,Saipa ALB,Padideh MSH,2015-08-14 13:30:00+00:00
IPL2015,03,Malavan ANZ,Esteghlal AHV,2015-08-13 14:30:00+00:00
IPL2015,03,Saba QOM,Gostaresh TBZ,2015-08-13 16:45:00+00:00
IPL2015,04,Naft TEH,Malavan ANZ,2015-08-19 15:00:00+00:00
IPL2015,04,Esteghlal KHU,Saipa ALB,2015-08-20 12:45:00+00:00
IPL2015,04,Gostaresh TBZ,SiahJamegan MSH,2015-08-20 13:15:00+00:00
IPL2015,04,Perspolis TEH,Zobahan ESF,2015-08-20 15:45:00+00:00
IPL2015,04,Sepahan ESF,Foolad KHU,2015-08-20 14:00:00+00:00
IPL2015,04,Esteghlal AHV,Esteghlal TEH,2015-08-21 15:45:00+00:00
IPL2015,04,Padideh MSH,Teraktor TBZ,2015-08-21 15:45:00+00:00
IPL2015,04,Rahahan TEH,Saba QOM,2015-08-21 14:45:00+00:00
IPL2015,05,Teraktor TBZ,Esteghlal KHU,2015-08-26 12:30:00+00:00
IPL2015,05,Zobahan ESF,Esteghlal AHV,2015-08-26 17:15:00+00:00
IPL2015,05,Saipa ALB,Sepahan ESF,2015-08-25 15:30:00+00:00
IPL2015,05,Esteghlal TEH,Naft TEH,2015-09-21 15:00:00+00:00
IPL2015,05,Saba QOM,Padideh MSH,2015-08-26 12:45:00+00:00
IPL2015,05,SiahJamegan MSH,Rahahan TEH,2015-08-26 12:30:00+00:00
IPL2015,05,Malavan ANZ,Gostaresh TBZ,2015-08-25 13:00:00+00:00
IPL2015,05,Foolad KHU,Perspolis TEH,2015-08-25 14:30:00+00:00
IPL2015,06,Rahahan TEH,Malavan ANZ,2015-09-15 15:00:00+00:00
IPL2015,06,Esteghlal KHU,Saba QOM,2015-09-14 14:30:00+00:00
IPL2015,06,Foolad KHU,Zobahan ESF,2015-09-15 12:15:00+00:00
IPL2015,06,Gostaresh TBZ,Esteghlal TEH,2015-09-15 15:45:00+00:00
IPL2015,06,Padideh MSH,SiahJamegan MSH,2015-09-15 14:30:00+00:00
IPL2015,06,Sepahan ESF,Teraktor TBZ,2015-09-15 15:45:00+00:00
IPL2015,06,Perspolis TEH,Saipa ALB,2015-09-16 15:45:00+00:00
IPL2015,06,Naft TEH,Esteghlal AHV,2015-12-23 14:15:00+00:00
IPL2015,07,Saba QOM,Sepahan ESF,2015-09-24 12:30:00+00:00
IPL2015,07,SiahJamegan MSH,Esteghlal KHU,2015-09-24 15:30:00+00:00
IPL2015,07,Esteghlal TEH,Rahahan TEH,2015-09-25 14:15:00+00:00
IPL2015,07,Zobahan ESF,Naft TEH,2015-09-26 14:15:00+00:00
IPL2015,07,Esteghlal AHV,Gostaresh TBZ,2015-09-26 14:15:00+00:00
IPL2015,07,Teraktor TBZ,Perspolis TEH,2015-09-25 17:00:00+00:00
IPL2015,07,Malavan ANZ,Padideh MSH,2015-09-25 15:15:00+00:00
IPL2015,07,Saipa ALB,Foolad KHU,2015-09-24 17:15:00+00:00
IPL2015,08,Saipa ALB,Zobahan ESF,2015-10-16 13:15:00+00:00
IPL2015,08,Esteghlal KHU,Malavan ANZ,2015-10-15 15:30:00+00:00
IPL2015,08,Foolad KHU,Teraktor TBZ,2015-10-16 15:30:00+00:00
IPL2015,08,Gostaresh TBZ,Naft TEH,2015-10-16 14:15:00+00:00
IPL2015,08,Padideh MSH,Esteghlal TEH,2015-10-16 18:00:00+00:00
IPL2015,08,Perspolis TEH,Saba QOM,2015-10-16 17:45:00+00:00
IPL2015,08,Rahahan TEH,Esteghlal AHV,2015-10-16 15:15:00+00:00
IPL2015,08,Sepahan ESF,SiahJamegan MSH,2015-10-16 13:00:00+00:00
IPL2015,09,Malavan ANZ,Sepahan ESF,2015-10-20 13:00:00+00:00
IPL2015,09,Zobahan ESF,Gostaresh TBZ,2015-10-21 15:45:00+00:00
IPL2015,09,Naft TEH,Rahahan TEH,2015-10-21 16:30:00+00:00
IPL2015,09,Saba QOM,Foolad KHU,2015-10-21 16:15:00+00:00
IPL2015,09,Esteghlal TEH,Esteghlal KHU,2015-10-21 18:15:00+00:00
IPL2015,09,Esteghlal AHV,Padideh MSH,2015-10-21 13:15:00+00:00
IPL2015,09,Teraktor TBZ,Saipa ALB,2015-10-20 17:00:00+00:00
IPL2015,09,SiahJamegan MSH,Perspolis TEH,2015-10-20 17:30:00+00:00
IPL2015,10,Padideh MSH,Naft TEH,2015-10-27 13:45:00+00:00
IPL2015,10,Esteghlal KHU,Esteghlal AHV,2015-10-26 12:45:00+00:00
IPL2015,10,Perspolis TEH,Malavan ANZ,2015-10-26 16:45:00+00:00
IPL2015,10,Sepahan ESF,Esteghlal TEH,2015-10-26 13:30:00+00:00
IPL2015,10,Foolad KHU,SiahJamegan MSH,2015-10-27 12:30:00+00:00
IPL2015,10,Rahahan TEH,Gostaresh TBZ,2015-10-27 17:45:00+00:00
IPL2015,10,Saipa ALB,Saba QOM,2015-10-27 15:45:00+00:00
IPL2015,10,Teraktor TBZ,Zobahan ESF,2015-10-27 12:45:00+00:00
IPL2015,11,Esteghlal TEH,Perspolis TEH,2015-10-30 17:45:00+00:00
IPL2015,11,Esteghlal AHV,Sepahan ESF,2015-10-31 18:15:00+00:00
IPL2015,11,Gostaresh TBZ,Padideh MSH,2015-10-31 16:00:00+00:00
IPL2015,11,Malavan ANZ,Foolad KHU,2015-10-31 14:30:00+00:00
IPL2015,11,Zobahan ESF,Rahahan TEH,2015-10-31 15:30:00+00:00
IPL2015,11,Naft TEH,Esteghlal KHU,2015-10-31 18:15:00+00:00
IPL2015,11,Saba QOM,Teraktor TBZ,2015-10-31 18:15:00+00:00
IPL2015,11,SiahJamegan MSH,Saipa ALB,2015-10-31 16:45:00+00:00
IPL2015,12,Saba QOM,Zobahan ESF,2015-11-20 13:15:00+00:00
IPL2015,12,Perspolis TEH,Esteghlal AHV,2015-11-21 17:45:00+00:00
IPL2015,12,Teraktor TBZ,SiahJamegan MSH,2015-11-20 16:45:00+00:00
IPL2015,12,Sepahan ESF,Naft TEH,2015-11-20 17:00:00+00:00
IPL2015,12,Saipa ALB,Malavan ANZ,2015-11-20 16:30:00+00:00
IPL2015,12,Padideh MSH,Rahahan TEH,2015-11-20 14:30:00+00:00
IPL2015,12,Foolad KHU,Esteghlal TEH,2015-11-20 13:15:00+00:00
IPL2015,12,Esteghlal KHU,Gostaresh TBZ,2015-11-19 16:15:00+00:00
IPL2015,13,Malavan ANZ,Teraktor TBZ,2015-11-30 16:45:00+00:00
IPL2015,13,Gostaresh TBZ,Sepahan ESF,2015-11-29 16:15:00+00:00
IPL2015,13,Rahahan TEH,Esteghlal KHU,2015-11-29 16:30:00+00:00
IPL2015,13,SiahJamegan MSH,Saba QOM,2015-11-29 18:00:00+00:00
IPL2015,13,Esteghlal AHV,Foolad KHU,2015-11-30 16:30:00+00:00
IPL2015,13,Esteghlal TEH,Saipa ALB,2015-11-30 16:30:00+00:00
IPL2015,13,Zobahan ESF,Padideh MSH,2015-11-30 13:45:00+00:00
IPL2015,13,Naft TEH,Perspolis TEH,2015-11-30 14:45:00+00:00
IPL2015,14,SiahJamegan MSH,Zobahan ESF,2015-12-14 12:45:00+00:00
IPL2015,14,Foolad KHU,Naft TEH,2015-12-13 17:00:00+00:00
IPL2015,14,Saba QOM,Malavan ANZ,2015-12-13 15:15:00+00:00
IPL2015,14,Saipa ALB,Esteghlal AHV,2015-12-13 15:45:00+00:00
IPL2015,14,Sepahan ESF,Rahahan TEH,2015-12-13 16:45:00+00:00
IPL2015,14,Teraktor TBZ,Esteghlal TEH,2015-12-13 12:30:00+00:00
IPL2015,14,Esteghlal KHU,Padideh MSH,2015-12-14 13:00:00+00:00
IPL2015,14,Perspolis TEH,Gostaresh TBZ,2015-12-14 17:15:00+00:00
IPL2015,15,Naft TEH,Saipa ALB,2015-12-17 14:45:00+00:00
IPL2015,15,Zobahan ESF,Esteghlal KHU,2015-12-18 15:15:00+00:00
IPL2015,15,Esteghlal TEH,Saba QOM,2015-12-17 13:15:00+00:00
IPL2015,15,Esteghlal AHV,Teraktor TBZ,2015-12-17 15:00:00+00:00
IPL2015,15,Rahahan TEH,Perspolis TEH,2015-12-18 14:30:00+00:00
IPL2015,15,Padideh MSH,Sepahan ESF,2015-12-18 13:45:00+00:00
IPL2015,15,Malavan ANZ,SiahJamegan MSH,2015-12-18 13:15:00+00:00
IPL2015,15,Gostaresh TBZ,Foolad KHU,2015-12-18 17:00:00+00:00
IPL2015,16,Esteghlal TEH,SiahJamegan MSH,2015-12-28 14:30:00+00:00
IPL2015,16,Padideh MSH,Perspolis TEH,2015-12-26 14:15:00+00:00
IPL2015,16,Esteghlal KHU,Sepahan ESF,2015-12-26 16:00:00+00:00
IPL2015,16,Rahahan TEH,Foolad KHU,2015-12-26 15:45:00+00:00
IPL2015,16,Zobahan ESF,Malavan ANZ,2015-12-26 16:15:00+00:00
IPL2015,16,Esteghlal AHV,Saba QOM,2015-12-27 17:30:00+00:00
IPL2015,16,Gostaresh TBZ,Saipa ALB,2015-12-27 18:15:00+00:00
IPL2015,16,Naft TEH,Teraktor TBZ,2015-12-28 18:00:00+00:00
IPL2015,17,SiahJamegan MSH,Esteghlal AHV,2016-01-01 15:30:00+00:00
IPL2015,17,Foolad KHU,Padideh MSH,2015-12-31 17:45:00+00:00
IPL2015,17,Perspolis TEH,Esteghlal KHU,2015-12-31 13:45:00+00:00
IPL2015,17,Saipa ALB,Rahahan TEH,2015-12-31 15:45:00+00:00
IPL2015,17,Sepahan ESF,Zobahan ESF,2015-12-31 12:30:00+00:00
IPL2015,17,Malavan ANZ,Esteghlal TEH,2016-01-01 17:00:00+00:00
IPL2015,17,Saba QOM,Naft TEH,2016-01-01 13:45:00+00:00
IPL2015,17,Teraktor TBZ,Gostaresh TBZ,2016-01-01 17:30:00+00:00
IPL2015,18,Rahahan TEH,Teraktor TBZ,2016-01-29 15:45:00+00:00
IPL2015,18,Esteghlal AHV,Malavan ANZ,2016-01-28 14:00:00+00:00
IPL2015,18,Esteghlal KHU,Foolad KHU,2016-01-29 15:15:00+00:00
IPL2015,18,Naft TEH,SiahJamegan MSH,2016-01-29 13:00:00+00:00
IPL2015,18,Gostaresh TBZ,Saba QOM,2016-02-01 13:00:00+00:00
IPL2015,18,Padideh MSH,Saipa ALB,2016-02-02 14:30:00+00:00
IPL2015,18,Perspolis TEH,Sepahan ESF,2016-02-02 13:15:00+00:00
IPL2015,18,Zobahan ESF,Esteghlal TEH,2016-02-02 12:30:00+00:00
IPL2015,19,Zobahan ESF,Perspolis TEH,2016-02-07 15:30:00+00:00
IPL2015,19,Malavan ANZ,Naft TEH,2016-02-03 15:30:00+00:00
IPL2015,19,Esteghlal TEH,Esteghlal AHV,2016-02-07 13:45:00+00:00
IPL2015,19,Foolad KHU,Sepahan ESF,2016-02-07 12:45:00+00:00
