Season,Round,ClubHome,ClubAway,PlayDate
IPL2014,01,Rahahan TEH,Esteghlal TEH,2014-07-31 13:30:00+00:00
IPL2014,01,Saba QOM,Zobahan ESF,2014-07-31 15:00:00+00:00
IPL2014,01,Teraktor TBZ,Foolad KHU,2014-07-31 12:45:00+00:00
IPL2014,01,Esteghlal KHU,Gostaresh TBZ,2014-08-01 13:45:00+00:00
IPL2014,01,Padideh MSH,Malavan ANZ,2014-08-01 16:00:00+00:00
IPL2014,01,Perspolis TEH,Naft TEH,2014-08-01 14:00:00+00:00
IPL2014,01,Saipa ALB,Naft MJS,2014-08-01 14:00:00+00:00
IPL2014,01,Sepahan ESF,Paykan TEH,2014-08-01 13:45:00+00:00
IPL2014,02,Foolad KHU,Perspolis TEH,2014-08-07 11:30:00+00:00
IPL2014,02,Gostaresh TBZ,Sepahan ESF,2014-08-07 15:15:00+00:00
IPL2014,02,Naft TEH,Rahahan TEH,2014-08-07 11:45:00+00:00
IPL2014,02,Paykan TEH,Saipa ALB,2014-08-07 12:45:00+00:00
IPL2014,02,Esteghlal TEH,Esteghlal KHU,2014-08-08 14:00:00+00:00
IPL2014,02,Malavan ANZ,Saba QOM,2014-08-08 17:00:00+00:00
IPL2014,02,Naft MJS,Padideh MSH,2014-08-08 11:45:00+00:00
IPL2014,02,Zobahan ESF,Teraktor TBZ,2014-08-08 13:30:00+00:00
IPL2014,03,Padideh MSH,Saba QOM,2014-08-14 15:15:00+00:00
IPL2014,03,Paykan TEH,Naft MJS,2014-08-14 14:15:00+00:00
IPL2014,03,Rahahan TEH,Foolad KHU,2014-08-14 16:15:00+00:00
IPL2014,03,Saipa ALB,Gostaresh TBZ,2014-08-14 14:30:00+00:00
IPL2014,03,Sepahan ESF,Esteghlal TEH,2014-08-14 14:30:00+00:00
IPL2014,03,Esteghlal KHU,Naft TEH,2014-08-15 11:45:00+00:00
IPL2014,03,Perspolis TEH,Zobahan ESF,2014-08-15 16:30:00+00:00
IPL2014,03,Teraktor TBZ,Malavan ANZ,2014-08-15 16:00:00+00:00
IPL2014,04,Esteghlal TEH,Saipa ALB,2014-08-19 12:30:00+00:00
IPL2014,04,Foolad KHU,Esteghlal KHU,2014-08-19 11:45:00+00:00
IPL2014,04,Gostaresh TBZ,Paykan TEH,2014-08-19 14:45:00+00:00
IPL2014,04,Naft TEH,Sepahan ESF,2014-08-19 13:45:00+00:00
IPL2014,04,Padideh MSH,Teraktor TBZ,2014-08-19 13:45:00+00:00
IPL2014,04,Saba QOM,Naft MJS,2014-08-19 14:30:00+00:00
IPL2014,04,Zobahan ESF,Rahahan TEH,2014-08-19 13:30:00+00:00
IPL2014,04,Malavan ANZ,Perspolis TEH,2014-08-20 11:45:00+00:00
IPL2014,05,Esteghlal KHU,Zobahan ESF,2014-08-24 14:30:00+00:00
IPL2014,05,Naft MJS,Gostaresh TBZ,2014-08-24 16:45:00+00:00
IPL2014,05,Paykan TEH,Esteghlal TEH,2014-08-24 11:30:00+00:00
IPL2014,05,Saipa ALB,Naft TEH,2014-08-24 13:45:00+00:00
IPL2014,05,Sepahan ESF,Foolad KHU,2014-08-24 12:15:00+00:00
IPL2014,05,Teraktor TBZ,Saba QOM,2014-08-24 12:45:00+00:00
IPL2014,05,Perspolis TEH,Padideh MSH,2014-08-25 14:00:00+00:00
IPL2014,05,Rahahan TEH,Malavan ANZ,2014-08-25 16:30:00+00:00
IPL2014,06,Esteghlal TEH,Gostaresh TBZ,2014-08-29 17:15:00+00:00
IPL2014,06,Foolad KHU,Saipa ALB,2014-08-29 13:15:00+00:00
IPL2014,06,Naft TEH,Paykan TEH,2014-08-29 16:00:00+00:00
IPL2014,06,Teraktor TBZ,Naft MJS,2014-08-29 14:45:00+00:00
IPL2014,06,Zobahan ESF,Sepahan ESF,2014-08-29 12:30:00+00:00
IPL2014,06,Malavan ANZ,Esteghlal KHU,2014-08-30 11:45:00+00:00
IPL2014,06,Padideh MSH,Rahahan TEH,2014-08-30 14:00:00+00:00
IPL2014,06,Saba QOM,Perspolis TEH,2014-08-30 11:30:00+00:00
IPL2014,07,Esteghlal KHU,Padideh MSH,2014-09-04 15:45:00+00:00
