Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2014,29,Saipa ALB,Game Half1 Start,00:00:00,,,,
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Majid,Haydari,Defender
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad,Tayyebi,Defender
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Mousa Salif,Coulibaly,Defender
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Mehdi,Momeni,Forward
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Seyed Mehdi,Seyed Salehi,Forward
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Maysam Parviz,Karimi,Goalkeeper
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Iman,Basafa,Midfield
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Maysam,Doraghi,Midfield
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Maysam,Majidi,Midfield
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Mohamad Reza,Mahdavi,Midfield
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Esteghlal KHU,Yazdan,Abbasian,Midfield
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Ali,Zaynali,Defender
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Ebrahim,Shakoori,Defender
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Majid,Ayoubi,Defender
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Masih,Zahedi,Defender
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Sajjad,Moshkelpour,Defender
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Mohamad,Nozhati,Forward
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Mohamad Reza,Akhbari,Goalkeeper
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Ebrahim,Sadeghi,Midfield
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Milad,Maydavoodi,Midfield
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Mojtaba,Ramezani,Midfield
IPL2014,29,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Roozbeh,Shah Alidoost,Midfield
IPL2014,29,Saipa ALB,Card: Yellow,00:01:00,Esteghlal KHU,Yazdan,Abbasian,Midfield
IPL2014,29,Saipa ALB,Goal,00:02:00,Saipa ALB,Mojtaba,Ramezani,Midfield
IPL2014,29,Saipa ALB,Goal,00:06:00,Saipa ALB,Milad,Maydavoodi,Midfield
IPL2014,29,Saipa ALB,Player Sub-in,00:25:00,Esteghlal KHU,Rouhollah,Sayfollahi,Forward
IPL2014,29,Saipa ALB,Player Sub-out,00:25:00,Esteghlal KHU,Majid,Haydari,Defender
IPL2014,29,Saipa ALB,Goal,00:45:00,Esteghlal KHU,Maysam,Majidi,Midfield
IPL2014,29,Saipa ALB,Game Half1 Stop,00:46:00,,,,
IPL2014,29,Saipa ALB,Game Half2 Start,00:47:00,,,,
IPL2014,29,Saipa ALB,Player Sub-in,00:52:00,Esteghlal KHU,Maysam,Baoo,Midfield
IPL2014,29,Saipa ALB,Player Sub-out,00:52:00,Esteghlal KHU,Iman,Basafa,Midfield
IPL2014,29,Saipa ALB,Player Sub-in,01:00:00,Saipa ALB,Mahdi,Torabi,Defender
IPL2014,29,Saipa ALB,Player Sub-out,01:00:00,Saipa ALB,Ali,Zaynali,Defender
IPL2014,29,Saipa ALB,Player Sub-in,01:04:00,Esteghlal KHU,Abdolhadi,Khanifar,Midfield
IPL2014,29,Saipa ALB,Player Sub-out,01:04:00,Esteghlal KHU,Mohamad Reza,Mahdavi,Midfield
IPL2014,29,Saipa ALB,Player Sub-in,01:08:00,Saipa ALB,Hakeem,Nassari,Forward
IPL2014,29,Saipa ALB,Player Sub-out,01:08:00,Saipa ALB,Mojtaba,Ramezani,Midfield
IPL2014,29,Saipa ALB,"Goal, Own",01:15:00,Esteghlal KHU,Sajjad,Moshkelpour,Defender
IPL2014,29,Saipa ALB,Player Sub-in,01:29:00,Saipa ALB,Vahid,Mohamad Zadeh,Defender
IPL2014,29,Saipa ALB,Player Sub-out,01:29:00,Saipa ALB,Milad,Maydavoodi,Midfield
IPL2014,29,Saipa ALB,Goal,01:30:00,Saipa ALB,Ebrahim,Sadeghi,Midfield
IPL2014,29,Saipa ALB,Game Half2 Stop,01:39:00,,,,
IPL2014,29,Saipa ALB,Game End,01:40:00,,,,
