Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2014,09,Gostaresh TBZ,Game Half1 Start,00:00:00,,,,
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Behnam,Dadashvand,Defender
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Mohamad,Mokhtari,Defender
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Morteza,Asadi,Defender
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Morteza,Mahfouzi,Defender
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Mehrdad,Bayrami,Forward
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Rodrigo,Lopez Odriozola,Goalkeeper
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Alireza,Naghizadeh,Midfield
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Jaber,Ansari,Midfield
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Magno,Batista Da Silva,Midfield
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Milad,Jahani,Midfield
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Gostaresh TBZ,Omid,Nezamipour,Midfield
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Ali,Hammam,Defender
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Carlos,Santos de Jesus,Defender
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Hadi,Mohamadi,Defender
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Esmaeel,Farhadi,Forward
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Masoud,Hassan Zadeh,Forward
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Mohamad Bagher,Sadeghi,Goalkeeper
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Akbar,Imani,Midfield
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Ghasem,Haddadifar,Midfield
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Ghasem,Dehnavi,Midfield
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Mehdi,Rajabzadeh,Midfield
IPL2014,09,Gostaresh TBZ,Player in Line-up,00:00:00,Zobahan ESF,Mehrdad,Ghanbari,Midfield
IPL2014,09,Gostaresh TBZ,Card: Yellow,00:01:00,Gostaresh TBZ,Mehrdad,Bayrami,Forward
IPL2014,09,Gostaresh TBZ,Card: Yellow,00:01:00,Gostaresh TBZ,Alireza,Naghizadeh,Midfield
IPL2014,09,Gostaresh TBZ,Card: Yellow,00:01:00,Gostaresh TBZ,Maysam,Naghizadeh,Midfield
IPL2014,09,Gostaresh TBZ,Card: Yellow,00:01:00,Zobahan ESF,Mostafa,Shojaei,Forward
IPL2014,09,Gostaresh TBZ,Card: Yellow,00:01:00,Zobahan ESF,Ghasem,Haddadifar,Midfield
IPL2014,09,Gostaresh TBZ,Card: Yellow,00:01:00,Zobahan ESF,Mehrdad,Ghanbari,Midfield
IPL2014,09,Gostaresh TBZ,Goal,00:02:00,Gostaresh TBZ,Jaber,Ansari,Midfield
IPL2014,09,Gostaresh TBZ,Player Sub-in,00:40:00,Gostaresh TBZ,Alireza,Naghizadeh,Midfield
IPL2014,09,Gostaresh TBZ,Player Sub-out,00:40:00,Gostaresh TBZ,Morteza,Mahfouzi,Defender
IPL2014,09,Gostaresh TBZ,Game Half1 Stop,00:46:00,,,,
IPL2014,09,Gostaresh TBZ,Game Half2 Start,00:47:00,,,,
IPL2014,09,Gostaresh TBZ,Penalty Scored,00:51:00,Zobahan ESF,Mehdi,Rajabzadeh,Midfield
IPL2014,09,Gostaresh TBZ,Goal,01:01:00,Zobahan ESF,Masoud,Hassan Zadeh,Forward
IPL2014,09,Gostaresh TBZ,Player Sub-in,01:08:00,Gostaresh TBZ,Paymon,Ranjbari,Forward
IPL2014,09,Gostaresh TBZ,Player Sub-out,01:08:00,Gostaresh TBZ,Magno,Batista Da Silva,Midfield
IPL2014,09,Gostaresh TBZ,Player Sub-in,01:23:00,Zobahan ESF,Mostafa,Shojaei,Forward
IPL2014,09,Gostaresh TBZ,Player Sub-out,01:23:00,Zobahan ESF,Esmaeel,Farhadi,Forward
IPL2014,09,Gostaresh TBZ,Player Sub-in,01:24:00,Zobahan ESF,Morteza,Tabrizi,Forward
IPL2014,09,Gostaresh TBZ,Player Sub-out,01:24:00,Zobahan ESF,Masoud,Hassan Zadeh,Forward
IPL2014,09,Gostaresh TBZ,Player Sub-in,01:25:00,Gostaresh TBZ,Adel,Sarshar,Defender
IPL2014,09,Gostaresh TBZ,Player Sub-out,01:25:00,Gostaresh TBZ,Milad,Jahani,Midfield
IPL2014,09,Gostaresh TBZ,Player Sub-in,01:29:00,Zobahan ESF,Danial,Esmaeelfar,Forward
IPL2014,09,Gostaresh TBZ,Player Sub-out,01:29:00,Zobahan ESF,Mehdi,Rajabzadeh,Midfield
IPL2014,09,Gostaresh TBZ,Goal,01:32:00,Gostaresh TBZ,Jaber,Ansari,Midfield
IPL2014,09,Gostaresh TBZ,Goal,01:36:00,Gostaresh TBZ,Mehrdad,Bayrami,Forward
IPL2014,09,Gostaresh TBZ,Game Half2 Stop,01:39:00,,,,
IPL2014,09,Gostaresh TBZ,Game End,01:40:00,,,,
