Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2014,02,Naft MJS,Game Half1 Start,00:00:00,,,,
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Hamzeh,Haddadi,Defender
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Kiomars,Cheraghi,Defender
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Milad,Sheikhi Solaymani,Defender
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Saeed,Salarzadeh,Defender
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Farzad,Mohamadi,Forward
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Milad,Znayadpour,Forward
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Amir Meghdad,Maleki,Goalkeeper
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Hamid,Bouhamdan,Midfield
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Mahmoud,Tighnavard,Midfield
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Naft MJS,Reza,Darvishi,Midfield
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Igor,Prahic,Defender
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Milan,Jovanovic,Defender
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Mohamad,Nejad Mehdi,Defender
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Gholamreza,Enayati,Forward
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Rouhollah,Bagheri,Forward
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Younes,Shakeri,Forward
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Mojtaba,Roshangar,Goalkeeper
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Abbas,Mohamad Rezaei,Midfield
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Akbar,Sadeghi,Midfield
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Mehdi,Khayri,Midfield
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Mohamad Reza,Nasehi,Midfield
IPL2014,02,Naft MJS,Player in Line-up,00:00:00,Padideh MSH,Zoran,Knezevic,Midfield
IPL2014,02,Naft MJS,Card: Yellow,00:01:00,Padideh MSH,Abbas,Mohamad Rezaei,Midfield
IPL2014,02,Naft MJS,Card: Yellow,00:01:00,Padideh MSH,Akbar,Sadeghi,Midfield
IPL2014,02,Naft MJS,Card: Yellow,00:01:00,Padideh MSH,Zoran,Knezevic,Midfield
IPL2014,02,Naft MJS,Goal,00:25:00,Padideh MSH,Younes,Shakeri,Forward
IPL2014,02,Naft MJS,Player Sub-in,00:35:00,Naft MJS,Seyed Sajjad,Mousavi,Defender
IPL2014,02,Naft MJS,Player Sub-out,00:35:00,Naft MJS,Hamid,Bouhamdan,Midfield
IPL2014,02,Naft MJS,Game Half1 Stop,00:46:00,,,,
IPL2014,02,Naft MJS,Game Half2 Start,00:47:00,,,,
IPL2014,02,Naft MJS,Player Sub-in,00:58:00,Padideh MSH,Rouhollah,Bagheri,Forward
IPL2014,02,Naft MJS,Player Sub-out,00:58:00,Padideh MSH,Mehdi,Khayri,Midfield
IPL2014,02,Naft MJS,Player Sub-in,01:10:00,Naft MJS,Milad,Solayman Fallah,Forward
IPL2014,02,Naft MJS,Player Sub-out,01:10:00,Naft MJS,Farzad,Mohamadi,Forward
IPL2014,02,Naft MJS,Player Sub-in,01:11:00,Padideh MSH,Hossain,Kiani Moghadam,Midfield
IPL2014,02,Naft MJS,Player Sub-out,01:11:00,Padideh MSH,Younes,Shakeri,Forward
IPL2014,02,Naft MJS,Goal,01:13:00,Padideh MSH,Akbar,Sadeghi,Midfield
IPL2014,02,Naft MJS,Player Sub-in,01:17:00,Naft MJS,Bahador,Abdi,Midfield
IPL2014,02,Naft MJS,Player Sub-out,01:17:00,Naft MJS,Amir Meghdad,Maleki,Goalkeeper
IPL2014,02,Naft MJS,Goal,01:23:00,Padideh MSH,Gholamreza,Enayati,Forward
IPL2014,02,Naft MJS,Player Sub-in,01:23:00,Padideh MSH,Vahid,Asgari,Defender
IPL2014,02,Naft MJS,Player Sub-out,01:23:00,Padideh MSH,Rouhollah,Bagheri,Forward
IPL2014,02,Naft MJS,Game Half2 Stop,01:39:00,,,,
IPL2014,02,Naft MJS,Game End,01:40:00,,,,
