Season,Round,URL_IPLStats
IPL2013,10,http://www.iplstats.com/website13-14/Week10/SEP_PER_10.htm
IPL2013,10,http://www.iplstats.com/website13-14/Week10/EST_MES_10.htm
IPL2013,11,http://www.iplstats.com/website13-14/Week11/PER_FAJR_11.htm
IPL2013,11,http://www.iplstats.com/website13-14/Week11/ESK_SAB_11.htm
IPL2013,11,http://www.iplstats.com/website13-14/Week11/MLV_FOL_11.htm
IPL2013,11,http://www.iplstats.com/website13-14/Week11/MES_GFT_11.htm
IPL2013,11,http://www.iplstats.com/website13-14/Week11/RAH_DGL_11.htm
IPL2013,11,http://www.iplstats.com/website13-14/Week11/TST_NFT_11.htm
IPL2013,11,http://www.iplstats.com/website13-14/Week11/ZOB_SEP_11.htm
IPL2013,11,http://www.iplstats.com/website13-14/Week11/SAP_EST_11.htm
IPL2013,12,http://www.iplstats.com/website13-14/Week12/FJR_ZOB_12.htm
IPL2013,12,http://www.iplstats.com/website13-14/Week12/FOL_NFT_12.htm
IPL2013,12,http://www.iplstats.com/website13-14/Week12/RAH_TST_12.htm
IPL2013,12,http://www.iplstats.com/website13-14/Week12/DGL_ESK_12.htm
IPL2013,12,http://www.iplstats.com/website13-14/Week12/GFT_SAP_12.htm
IPL2013,12,http://www.iplstats.com/website13-14/Week12/SAB_PER_12.htm
IPL2013,12,http://www.iplstats.com/website13-14/Week12/SEP_MES_12.htm
IPL2013,12,http://www.iplstats.com/website13-14/Week12/EST_MLV_12.htm
IPL2013,13,http://www.iplstats.com/website13-14/Week13/ESK_RAH_13.htm
IPL2013,13,http://www.iplstats.com/website13-14/Week13/MLV_GFT_13.htm
IPL2013,13,http://www.iplstats.com/website13-14/Week13/ZOB_SAB_13.htm
IPL2013,13,http://www.iplstats.com/website13-14/Week13/MES_FJR_13.htm
IPL2013,13,http://www.iplstats.com/website13-14/Week13/PER_DGL_13.htm
IPL2013,13,http://www.iplstats.com/website13-14/Week13/SAP_SEP_13.htm
IPL2013,13,http://www.iplstats.com/website13-14/Week13/TST_FOL_13.htm
IPL2013,13,http://www.iplstats.com/website13-14/Week13/NFT_EST_13.htm
IPL2013,14,http://www.iplstats.com/website13-14/Week14/DGL_ZOB_14.htm
IPL2013,14,http://www.iplstats.com/website13-14/Week14/SAB_MES_14.htm
IPL2013,14,http://www.iplstats.com/website13-14/Week14/SEP_MLV_14.htm
IPL2013,14,http://www.iplstats.com/website13-14/Week14/EST_FOL_14.htm
IPL2013,14,http://www.iplstats.com/website13-14/Week14/GFT_NFT_14.htm
IPL2013,14,http://www.iplstats.com/website13-14/Week14/ESK_TST_14.htm
IPL2013,14,http://www.iplstats.com/website13-14/Week14/FJR_SAP_14.htm
IPL2013,14,http://www.iplstats.com/website13-14/Week14/RAH_PER_14.htm
IPL2013,15,http://www.iplstats.com/website13-14/Week15/FOL_GFT_15.htm
IPL2013,15,http://www.iplstats.com/website13-14/Week15/MLV_FJR_15.htm
