Season,Round,SourceURL
IPL2014,10,http://www.iplstats.com/website14-15/Week10/TST_SEP_10.htm
IPL2014,10,http://www.iplstats.com/website14-15/Week10/ZOB_EST_10.htm
IPL2014,11,http://www.iplstats.com/website14-15/Week11/ESK_RAH_11.htm
IPL2014,11,http://www.iplstats.com/website14-15/Week11/EST_MLV_11.htm
IPL2014,11,http://www.iplstats.com/website14-15/Week11/GFT_PAD_11.htm
IPL2014,11,http://www.iplstats.com/website14-15/Week11/NFT_ZOB_11.htm
IPL2014,11,http://www.iplstats.com/website14-15/Week11/NMS_FOL_11.htm
IPL2014,11,http://www.iplstats.com/website14-15/Week11/PAY_SAB_11.htm
IPL2014,11,http://www.iplstats.com/website14-15/Week11/SAP_TST_11.htm
IPL2014,11,http://www.iplstats.com/website14-15/Week11/SEP_PER_11.htm
IPL2014,12,http://www.iplstats.com/website14-15/Week12/ESK_NFT_12.htm
IPL2014,12,http://www.iplstats.com/website14-15/Week12/PER_SAP_12.htm
IPL2014,12,http://www.iplstats.com/website14-15/Week12/SAB_GFT_12.htm
IPL2014,12,http://www.iplstats.com/website14-15/Week12/MLV_NFT_12.htm
IPL2014,12,http://www.iplstats.com/website14-15/Week12/PAD_EST_12.htm
IPL2014,12,http://www.iplstats.com/website14-15/Week12/RAH_SEP_12.htm
IPL2014,12,http://www.iplstats.com/website14-15/Week12/TST_PAY_12.htm
IPL2014,12,http://www.iplstats.com/website14-15/Week12/ZOB_FOL_12.htm
IPL2014,13,http://www.iplstats.com/website14-15/Week13/FOL_MLV_13.htm
IPL2014,13,http://www.iplstats.com/website14-15/Week13/PAY_PER_13.htm
IPL2014,13,http://www.iplstats.com/website14-15/Week13/EST_SAB_13.htm
IPL2014,13,http://www.iplstats.com/website14-15/Week13/GFT_TST_13.htm
IPL2014,13,http://www.iplstats.com/website14-15/Week13/NMS_ZOB_13.htm
IPL2014,13,http://www.iplstats.com/website14-15/Week13/NFT_PAD_13.htm
IPL2014,13,http://www.iplstats.com/website14-15/Week13/SAP_RAH_13.htm
IPL2014,13,http://www.iplstats.com/website14-15/Week13/SEP_ESK_13.htm
IPL2014,14,http://www.iplstats.com/website14-15/Week14/PER_GFT_14.htm
IPL2014,14,http://www.iplstats.com/website14-15/Week14/RAH_PAY_14.htm
IPL2014,14,http://www.iplstats.com/website14-15/Week14/SEP_NMS_14.htm
IPL2014,14,http://www.iplstats.com/website14-15/Week14/ESK_SAP_14.htm
IPL2014,14,http://www.iplstats.com/website14-15/Week14/MLV_ZOB_14.htm
IPL2014,14,http://www.iplstats.com/website14-15/Week14/PAD_FOL_14.htm
IPL2014,14,http://www.iplstats.com/website14-15/Week14/SAB_NFT_14.htm
IPL2014,14,http://www.iplstats.com/website14-15/Week14/TST_EST_14.htm
IPL2014,15,http://www.iplstats.com/website14-15/Week15/NMS_MLV_15.htm
IPL2014,15,http://www.iplstats.com/website14-15/Week15/NFT_TST_15.htm
IPL2014,15,http://www.iplstats.com/website14-15/Week15/PAY_ESK_15.htm
IPL2014,15,http://www.iplstats.com/website14-15/Week15/SAP_SEP_15.htm
IPL2014,15,http://www.iplstats.com/website14-15/Week15/FOL_SAB_15.htm
IPL2014,15,http://www.iplstats.com/website14-15/Week15/ZOB_PAD_15.htm
IPL2014,15,http://www.iplstats.com/website14-15/Week15/EST_PER_15.htm
IPL2014,15,http://www.iplstats.com/website14-15/Week15/GFT_RAH_15.htm
IPL2014,16,http://www.iplstats.com/website14-15/Week16/EST_RAH_16.htm
IPL2014,16,http://www.iplstats.com/website14-15/Week16/NFT_PER_16.htm
IPL2014,16,http://www.iplstats.com/website14-15/Week16/ZOB_SAB_16.htm
IPL2014,16,http://www.iplstats.com/website14-15/Week16/FOL_TST_16.htm
IPL2014,16,http://www.iplstats.com/website14-15/Week16/MLV_PAD_16.htm
IPL2014,16,http://www.iplstats.com/website14-15/Week16/GFT_EST_16.htm
IPL2014,16,http://www.iplstats.com/website14-15/Week16/NMS_SAP_16.htm
IPL2014,16,http://www.iplstats.com/website14-15/Week16/PAY_SEP_16.htm
IPL2014,17,http://www.iplstats.com/website14-15/Week17/SAB_MLV_17.htm
IPL2014,17,http://www.iplstats.com/website14-15/Week17/SAP_PAY_17.htm
IPL2014,17,http://www.iplstats.com/website14-15/Week17/SEP_GFT_17.htm
IPL2014,17,http://www.iplstats.com/website14-15/Week17/ESK_EST_17.htm
IPL2014,17,http://www.iplstats.com/website14-15/Week17/PAD_NMS_17.htm
IPL2014,17,http://www.iplstats.com/website14-15/Week17/PER_FOL_17.htm
IPL2014,17,http://www.iplstats.com/website14-15/Week17/RAH_NFT_17.htm
IPL2014,17,http://www.iplstats.com/website14-15/Week17/TST_ZOB_17.htm
IPL2014,18,http://www.iplstats.com/website14-15/Week18/GFT_SAP_18.htm
IPL2014,18,http://www.iplstats.com/website14-15/Week18/NMS_PAY_18.htm
IPL2014,18,http://www.iplstats.com/website14-15/Week18/SAB_PAD_18.htm
IPL2014,18,http://www.iplstats.com/website14-15/Week18/EST_SEP_18.htm
IPL2014,18,http://www.iplstats.com/website14-15/Week18/FOL_RAH_18.htm
IPL2014,18,http://www.iplstats.com/website14-15/Week18/MLV_TST_18.htm
IPL2014,18,http://www.iplstats.com/website14-15/Week18/NFT_ESK_18.htm
IPL2014,18,http://www.iplstats.com/website14-15/Week18/ZOB_PER_18.htm
IPL2014,19,http://www.iplstats.com/website14-15/Week19/PAY_GFT_19.htm
IPL2014,19,http://www.iplstats.com/website14-15/Week19/SAP_EST_19.htm
IPL2014,19,http://www.iplstats.com/website14-15/Week19/SEP_NFT_19.htm
IPL2014,19,http://www.iplstats.com/website14-15/Week19/NMS_SAB_19.htm
IPL2014,19,http://www.iplstats.com/website14-15/Week19/RAH_ZOB_19.htm
IPL2014,19,http://www.iplstats.com/website14-15/Week19/ESK_FOL_19.htm
IPL2014,19,http://www.iplstats.com/website14-15/Week19/PER_MLV_19.htm
IPL2014,19,http://www.iplstats.com/website14-15/Week19/TST_PAD_19.htm
IPL2014,20,http://www.iplstats.com/website14-15/Week20/EST_PAY_20.htm
IPL2014,20,http://www.iplstats.com/website14-15/Week20/NFT_SAP_20.htm
IPL2014,20,http://www.iplstats.com/website14-15/Week20/MLV_RAH_20.htm
IPL2014,20,http://www.iplstats.com/website14-15/Week20/FOL_SEP_20.htm
IPL2014,20,http://www.iplstats.com/website14-15/Week20/GFT_NMS_20.htm
IPL2014,20,http://www.iplstats.com/website14-15/Week20/PAD_PER_20.htm
IPL2014,20,http://www.iplstats.com/website14-15/Week20/SAB_TST_20.htm
IPL2014,20,http://www.iplstats.com/website14-15/Week20/ZOB_ESK_20.htm
IPL2014,21,http://www.iplstats.com/website14-15/Week21/PAY_NFT_21.htm
IPL2014,21,http://www.iplstats.com/website14-15/Week21/NMS_TST_21.htm
IPL2014,21,http://www.iplstats.com/website14-15/Week21/PER_SAB_21.htm
IPL2014,21,http://www.iplstats.com/website14-15/Week21/SAP_FOL_21.htm
IPL2014,21,http://www.iplstats.com/website14-15/Week21/ESK_MLV_21.htm
IPL2014,21,http://www.iplstats.com/website14-15/Week21/GFT_EST_21.htm
IPL2014,21,http://www.iplstats.com/website14-15/Week21/RAH_PAD_21.htm
IPL2014,21,http://www.iplstats.com/website14-15/Week21/SEP_ZOB_21.htm
IPL2014,22,http://www.iplstats.com/website14-15/Week22/EST_NMS_22.htm
IPL2014,22,http://www.iplstats.com/website14-15/Week22/MLV_SEP_22.htm
IPL2014,22,http://www.iplstats.com/website14-15/Week22/PAD_ESK_22.htm
IPL2014,22,http://www.iplstats.com/website14-15/Week22/SAB_RAH_22.htm
IPL2014,22,http://www.iplstats.com/website14-15/Week22/ZOB_SAP_22.htm
IPL2014,22,http://www.iplstats.com/website14-15/Week22/FOL_PAY_22.htm
IPL2014,22,http://www.iplstats.com/website14-15/Week22/NFT_GFT_22.htm
IPL2014,22,http://www.iplstats.com/website14-15/Week22/TST_PER_22.htm
IPL2014,23,http://www.iplstats.com/website14-15/Week23/EST_NFT_23.htm
IPL2014,23,http://www.iplstats.com/website14-15/Week23/GFT_FOL_23.htm
IPL2014,23,http://www.iplstats.com/website14-15/Week23/NMS_PER_23.htm
IPL2014,23,http://www.iplstats.com/website14-15/Week23/RAH_TST_23.htm
IPL2014,23,http://www.iplstats.com/website14-15/Week23/ESK_SAB_23.htm
IPL2014,23,http://www.iplstats.com/website14-15/Week23/PAY_ZOB_23.htm
IPL2014,23,http://www.iplstats.com/website14-15/Week23/SEP_PAD_23.htm
IPL2014,23,http://www.iplstats.com/website14-15/Week23/SAP_MLV_23.htm
IPL2014,24,http://www.iplstats.com/website14-15/Week24/FOL_EST_24.htm
IPL2014,24,http://www.iplstats.com/website14-15/Week24/NFT_NMS_24.htm
IPL2014,24,http://www.iplstats.com/website14-15/Week24/PER_RAH_24.htm
IPL2014,24,http://www.iplstats.com/website14-15/Week24/TST_ESK_24.htm
IPL2014,24,http://www.iplstats.com/website14-15/Week24/SAB_SEP_24.htm
