Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2016,27,Naft TEH,Game Half1 Start,00:00:00,,,,
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Abdollah,Nasseri,Defender
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Mohamad,Ahle Shakheh,Defender
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Soroush,Saeedi,Defender
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Sasan,Ansari,Forward
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Ehsan,Moradian,Goalkeeper
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Ahmad,Abdollahzadeh,Midfield
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Ayoub,Vaali,Midfield
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Bakhtiar,Rahmani,Midfield
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Esmaeel,Sharifat,Midfield
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Hamid,Bouhamdan,Midfield
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Foolad KHU,Sina,Maridi,Midfield
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Igor,Prahic,Defender
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Milad,Fakhredini,Defender
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Mohamd,Daneshgar,Defender
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Vahid,Hamdinejad,Defender
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Mohamad,Ghazi,Forward
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Sajjad,Shahbaz Zadeh,Forward
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Milad,Farahani,Goalkeeper
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Akbar,Sadeghi,Midfield
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Andranik,Taymorian,Midfield
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Arash,Rezavand,Midfield
IPL2016,27,Naft TEH,Player in Line-up,00:00:00,Naft TEH,Iman,Mobali,Midfield
IPL2016,27,Naft TEH,Card: Yellow,00:01:00,Foolad KHU,Mojtaba,Najjarian,Midfield
IPL2016,27,Naft TEH,Card: Yellow,00:01:00,Naft TEH,Milad,Fakhredini,Defender
IPL2016,27,Naft TEH,Card: Yellow,00:01:00,Naft TEH,Mohamd,Daneshgar,Defender
IPL2016,27,Naft TEH,Penalty Scored,00:40:00,Naft TEH,Mohamad,Ghazi,Forward
IPL2016,27,Naft TEH,Penalty Scored,00:43:00,Foolad KHU,Sasan,Ansari,Forward
IPL2016,27,Naft TEH,Game Half1 Stop,00:46:00,,,,
IPL2016,27,Naft TEH,Game Half2 Start,00:47:00,,,,
IPL2016,27,Naft TEH,Player Sub-in,01:10:00,Naft TEH,Eissa,Ale Kaseer,Forward
IPL2016,27,Naft TEH,Player Sub-out,01:10:00,Naft TEH,Sajjad,Shahbaz Zadeh,Forward
IPL2016,27,Naft TEH,Goal,01:12:00,Naft TEH,Mohamad,Ghazi,Forward
IPL2016,27,Naft TEH,Goal,01:17:00,Foolad KHU,Sasan,Ansari,Forward
IPL2016,27,Naft TEH,Player Sub-in,01:17:00,Foolad KHU,Bahram,Rashidi Farrokhi,Forward
IPL2016,27,Naft TEH,Player Sub-out,01:17:00,Foolad KHU,Esmaeel,Sharifat,Midfield
IPL2016,27,Naft TEH,Player Sub-in,01:18:00,Foolad KHU,Mojtaba,Najjarian,Midfield
IPL2016,27,Naft TEH,Player Sub-out,01:18:00,Foolad KHU,Soroush,Saeedi,Defender
IPL2016,27,Naft TEH,Game Half2 Stop,01:39:00,,,,
IPL2016,27,Naft TEH,Game End,01:40:00,,,,
