Season,Round,ClubHome,Event,EventTime,EventClub,FirstName,LastName,Position
IPL2015,17,Saipa ALB,Game Half1 Start,00:00:00,,,,
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Amir Reza,Nasr Azadani,Defender
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Ebrahim,Karimi,Defender
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Hadi,Mohamadi,Defender
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Hamid,Deevsalar,Defender
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Amin,Manouchehri,Forward
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Bahador,Abdi,Forward
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Farshad,Faraji,Forward
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Hossain,Khayri,Forward
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Mohamad Ali,Ramezanian,Goalkeeper
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Rahahan TEH,Milad,Abtahi,Midfield
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Ali,Zaynali,Defender
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Ebrahim,Shakoori,Defender
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Majid,Ayoubi,Defender
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Sajjad,Moshkelpour,Defender
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Vahid,Esmaeel Baygi,Defender
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Hamed,Fallahzadeh,Goalkeeper
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Ebrahim,Sadeghi,Midfield
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Javad,Nekonam,Midfield
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Milad,Maydavoodi,Midfield
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Mojtaba,Ramezani,Midfield
IPL2015,17,Saipa ALB,Player in Line-up,00:00:00,Saipa ALB,Roozbeh,Shah Alidoost,Midfield
IPL2015,17,Saipa ALB,Game Half1 Stop,00:46:00,,,,
IPL2015,17,Saipa ALB,Game Half2 Start,00:47:00,,,,
IPL2015,17,Saipa ALB,Player Sub-in,00:55:00,Saipa ALB,Gholamreza,Rezaei,Forward
IPL2015,17,Saipa ALB,Player Sub-out,00:55:00,Saipa ALB,Mojtaba,Ramezani,Midfield
IPL2015,17,Saipa ALB,Player Sub-in,01:01:00,Rahahan TEH,Ahmad,Mehdizadeh,Defender
IPL2015,17,Saipa ALB,Player Sub-out,01:01:00,Rahahan TEH,Amir Reza,Nasr Azadani,Defender
IPL2015,17,Saipa ALB,Player Sub-in,01:07:00,Saipa ALB,Mohamad,Alinejad,Forward
IPL2015,17,Saipa ALB,Player Sub-out,01:07:00,Saipa ALB,Roozbeh,Shah Alidoost,Midfield
IPL2015,17,Saipa ALB,Goal,01:10:00,Saipa ALB,Mohamad,Alinejad,Forward
IPL2015,17,Saipa ALB,Player Sub-in,01:11:00,Rahahan TEH,Kazem,Borjlo,Defender
IPL2015,17,Saipa ALB,Player Sub-out,01:11:00,Rahahan TEH,Amin,Manouchehri,Forward
IPL2015,17,Saipa ALB,Player Sub-in,01:22:00,Rahahan TEH,Milad,Naji,Midfield
IPL2015,17,Saipa ALB,Player Sub-out,01:22:00,Rahahan TEH,Hamid,Deevsalar,Defender
IPL2015,17,Saipa ALB,Game Half2 Stop,01:39:00,,,,
IPL2015,17,Saipa ALB,Game End,01:40:00,,,,
